state,county,county_fips,year,analyte_name,time_period,quarter,average_concentration,maximum_concentration,sdwa_limit,units,pws_id_number,pws_name,pws_primary_source_code,pws_population_served,pws_latitude,pws_longitude
Colorado,Douglas,08035,2009,TTHM (total trihalomethanes),Year,0,24.1,35.7,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.93
Colorado,Douglas,08035,2009,TTHM (total trihalomethanes),Quarter,1,11.8,27.3,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.93
Colorado,Douglas,08035,2009,TTHM (total trihalomethanes),Quarter,2,30,33.7,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.93
Colorado,Douglas,08035,2009,TTHM (total trihalomethanes),Quarter,3,32,35,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.93
Colorado,Douglas,08035,2009,TTHM (total trihalomethanes),Quarter,4,31.6,35.7,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.93
Colorado,Douglas,08035,2010,TTHM (total trihalomethanes),Year,0,29.8,45.4,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2010,TTHM (total trihalomethanes),Quarter,1,15.2,16.1,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2010,TTHM (total trihalomethanes),Quarter,2,36.4,40.6,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2010,TTHM (total trihalomethanes),Quarter,3,39.9,45.4,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2010,TTHM (total trihalomethanes),Quarter,4,27.6,31.8,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2011,TTHM (total trihalomethanes),Year,0,22.7,28.3,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2011,TTHM (total trihalomethanes),Quarter,1,21.8,25.9,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2011,TTHM (total trihalomethanes),Quarter,2,24.4,26.8,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2011,TTHM (total trihalomethanes),Quarter,3,18.6,21.9,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2011,TTHM (total trihalomethanes),Quarter,4,26.3,28.3,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2000,TTHM (total trihalomethanes),Year,0,72.4,92.3,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2000,TTHM (total trihalomethanes),Quarter,1,56,56,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2000,TTHM (total trihalomethanes),Quarter,2,65.8,65.8,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2000,TTHM (total trihalomethanes),Quarter,3,75.3,75.3,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
